date,nasdaq,yahoo,split,div,rn,ry,ecart_r,ratio_prix,titre
2022-12-23,113.62,113.62000274658205,0.0,0.0,0.0030899620376092507,0.0030900160138485067,-5.397623925595951e-08,1.0000000241734028,PLD
2022-12-27,113.29,113.29000091552734,0.0,0.0,-0.002904418236226003,-0.002904434281618018,1.6045392015051618e-08,1.0000000080812723,PLD
2022-12-28,110.45,110.4499969482422,0.0,0.0,-0.02506840850913583,-0.025068443325397594,3.481626176249364e-08,0.99999997236978,PLD
2022-12-29,113.97,113.97000122070312,0.0,0.0,0.03186962426437301,0.031869663827246875,-3.956287386586155e-08,1.0000000107107407,PLD
2022-12-30,112.73,112.7300033569336,0.0,0.0,-0.010880056155128548,-0.010880037294798917,-1.8860329631387174e-08,1.0000000297785292,PLD
2023-01-03,112.69,112.69000244140624,0.0,0.0,-0.0003548301250776431,-0.00035483823592818986,8.11085054674976e-09,1.0000000216647993,PLD
2023-01-04,116.96,116.95999908447266,0.0,0.0,0.03789156091933621,0.037891530309324795,3.061001141446695e-08,0.9999999921723038,PLD
2023-01-05,112.85,112.8499984741211,0.0,0.0,-0.03514021887824892,-0.035140224371780104,5.49353118550755e-09,0.9999999864786983,PLD
2023-01-06,116.65,116.6500015258789,0.0,0.0,0.033673017279574724,0.033673044777481564,-2.7497906840423525e-08,1.0000000130808306,PLD
2023-01-09,116.06,116.05999755859376,0.0,0.0,-0.005057865409344275,-0.005057899353342443,3.394399816780691e-08,0.9999999789642751,PLD
2023-01-10,116.05,116.0500030517578,0.0,0.0,-8.616232982949779e-05,-8.611500125976779e-05,-4.732856972999855e-08,1.000000026296922,PLD
2023-01-11,120.95,120.9499969482422,0.0,0.0,0.04222317966393807,0.042223125959755636,5.370418243444419e-08,0.9999999747684348,PLD
2023-01-12,122.12,122.12000274658205,0.0,0.0,0.009673418768086028,0.009673466952136556,-4.818405052731123e-08,1.0000000224908454,PLD
2023-01-13,121.9,121.9000015258789,0.0,0.0,-0.001801506714706802,-0.0018015166701206287,9.955413826645554e-09,1.0000000125174644,PLD
2023-01-17,121.42,121.41999816894533,0.0,0.0,-0.003937653814602204,-0.003937681303733842,2.7489131637636888e-08,0.9999999849196617,PLD
2023-01-18,122.65,122.6500015258789,0.0,0.0,0.010130126832482267,0.010130154632535415,-2.780005314839684e-08,1.0000000124409205,PLD
2023-01-19,121.29,121.29000091552734,0.0,0.0,-0.011088463106400326,-0.01108846794481777,4.838417444474885e-09,1.0000000075482507,PLD
2023-01-20,122.82,122.81999969482422,0.0,0.0,0.012614395251051125,0.012614385091500147,1.0159550978272591e-08,0.9999999975152599,PLD
2023-01-23,126.07,126.06999969482422,0.0,0.0,0.026461488356945173,0.026461488422695023,-6.574985000895595e-11,0.9999999975793149,PLD
2023-01-24,126.4,126.4000015258789,0.0,0.0,0.0026175934004919466,0.0026176079309392364,-1.4530447289828885e-08,1.0000000120718266,PLD
2023-01-25,125.69,125.69000244140624,0.0,0.0,-0.005617088607595022,-0.005617081296690585,-7.310904437396459e-09,1.0000000194240293,PLD
2023-01-26,128.06,128.05999755859375,0.0,0.0,0.018855915347282926,0.018855876132967353,3.9214315572522196e-08,0.9999999809354502,PLD
2023-01-27,129.84,129.83999633789062,0.0,0.0,0.013899734499453364,0.013899725232170423,9.267282941038957e-09,0.9999999717952143,PLD
2023-01-30,127.79,127.79000091552734,0.0,0.0,-0.015788662969808964,-0.015788628159141727,-3.481066723765025e-08,1.0000000071643114,PLD
2023-01-31,129.28,129.27999877929688,0.0,0.0,0.011659754284372825,0.01165973748411231,1.680026051609218e-08,0.9999999905576801,PLD
2023-02-01,130.9,130.89999389648438,0.0,0.0,0.012530940594059459,0.012530902943100442,3.765095901719917e-08,0.9999999533726842,PLD
2023-02-02,134.49,134.49000549316406,0.0,0.0,0.027425515660809863,0.02742560553149187,-8.98706820073869e-08,1.0000000408444052,PLD
2023-02-03,131.62,131.6199951171875,0.0,0.0,-0.02133987657074876,-0.021339952849674382,7.627892562034333e-08,0.9999999629021995,PLD
2023-02-06,131.44,131.44000244140625,0.0,0.0,-0.0013675733171251148,-0.001367517721156175,-5.5595968939670115e-08,1.0000000185743019,PLD
2023-02-07,130.27,130.27000427246094,0.0,0.0,-0.008901399878271321,-0.008901385782208004,-1.4096063316593188e-08,1.0000000327969674,PLD
2023-02-08,129.8,129.8000030517578,0.0,0.0,-0.0036078913026790227,-0.0036079005549130017,9.252233978962465e-09,1.0000000235112312,PLD
2023-02-09,128.04,128.0399932861328,0.0,0.0,-0.013559322033898424,-0.013559396951040137,7.491714171248276e-08,0.9999999475642988,PLD
2023-02-10,128.09,128.08999633789062,0.0,0.0,0.0003905029678226146,0.00039052682270979133,-2.3854887176710804e-08,0.999999971409873,PLD
2023-02-13,129.29,129.2899932861328,0.0,0.0,0.009368412834725559,0.009368389277463196,2.3557262363027576e-08,0.999999948071257,PLD
2023-02-14,127.73,127.7300033569336,0.0,0.0,-0.012065898368009753,-0.012065821101458263,-7.726655149031814e-08,1.0000000262814812,PLD
2023-02-15,127.53,127.52999877929688,0.0,0.0,-0.0015658028654192968,-0.001565838662650143,3.5797230846235095e-08,0.99999999042811,PLD
2023-02-16,125.79,125.79000091552734,0.0,0.0,-0.013643848506233791,-0.013643831886023694,-1.6620210097073596e-08,1.0000000072782202,PLD
2023-02-17,125.32,125.31999969482422,0.0,0.0,-0.0037363860402258586,-0.0037363957173253137,9.677099455096538e-09,0.9999999975648278,PLD
