serie,titre,poids,contribution,part_du_risque,rang
P1_reeq,SNDK,0.03679282404217125,0.03276601861087202,0.13144974354917782,1
P1_reeq,MU,0.018757804615913105,0.011828786318783216,0.047454374807263035,2
P1_reeq,STX,0.01719008560718291,0.009032260677873405,0.03623535602161413,3
P1_reeq,WDC,0.014494578484794081,0.008787388809852631,0.03525298630999288,4
P1_reeq,DELL,0.02386941972578133,0.00867337166434045,0.034795575700673,5
P1_reeq,LITE,0.013283605588282801,0.008594446862939371,0.034478947518682065,6
P1_reeq,MRVL,0.014554964643231144,0.00747348837113272,0.02998191942298399,7
P1_reeq,INTC,0.014158433596769122,0.007185474020178619,0.028826471975400676,8
P1_reeq,AMD,0.012437790052343122,0.006111229214707476,0.024516848463761582,9
P1_reeq,TER,0.010011207442285988,0.006053095733015855,0.02428363028273275,10
P1_reeq,LRCX,0.009675418692309359,0.005311006417360172,0.021306538332929687,11
P1_reeq,GLW,0.009904390083586309,0.005229237243667666,0.02097849918237688,12
P1_reeq,COHR,0.008441487451804194,0.0052212389590982474,0.020946411901100213,13
P1_reeq,FLEX,0.010008664685909368,0.004842009804668696,0.019425031605002974,14
P1_reeq,AMAT,0.009842775211787974,0.004755431807382136,0.019077700558302553,15
P1_reeq,VRT,0.009297270663580711,0.004435652174911447,0.017794818094621877,16
P1_reeq,FIX,0.00933823958977366,0.004131645072836144,0.016575211401495364,17
P1_reeq,KLAC,0.008475665000307428,0.0040022709059941,0.01605619194859081,18
P1_reeq,CIEN,0.007592580863847865,0.003936052331839292,0.015790538232946717,19
P1_reeq,SMCI,0.00744234799493216,0.003828691215905298,0.015359830086062053,20
P1_reeq,HPE,0.012521377263088723,0.0038175574413902747,0.015315163939035922,21
P1_reeq,Q,0.008250638895061002,0.0036623489007353736,0.014692502909997768,22
P1_reeq,ON,0.007634814721122082,0.0031983175640241564,0.012830915729270462,23
P1_reeq,MPWR,0.007607421574846798,0.0031095457192051638,0.012474783469979975,24
P1_reeq,KEYS,0.009218126795109836,0.0028528393718477586,0.01144493654447098,25
P1_reeq,JBL,0.007519146125807421,0.002691554157970258,0.010797897297675304,26
P1_reeq,GEV,0.00806736777588939,0.002665732954174401,0.010694308556626056,27
P1_reeq,ANET,0.008441660456596082,0.002662067631676288,0.01067960412432612,28
P1_reeq,PWR,0.008265298377018233,0.0026484823134392704,0.01062510294676476,29
P1_reeq,GNRC,0.007727732637027444,0.0025751879088498643,0.010331062624036314,30
P1_reeq,CAT,0.007916240488171794,0.0024757233413503885,0.009932033616413833,31
P1_reeq,ETN,0.007305491434039933,0.0022013219557204776,0.008831198260157809,32
P1_reeq,MCHP,0.006638041013707533,0.002183651545853702,0.008760308632919857,33
P1_reeq,EME,0.006872677331040115,0.00217467121446577,0.00872428160528646,34
P1_reeq,TXN,0.00847301247378954,0.0021216525624899816,0.008511582946706437,35
P1_reeq,ADI,0.0077018588594564815,0.0019262010660224145,0.007727476418779364,36
P1_reeq,APH,0.006896890117307761,0.001767516624644852,0.007090870874112917,37
P1_reeq,NXPI,0.005992571349380236,0.0017033112632248908,0.00683329370572494,38
P1_reeq,AVGO,0.005992145507694794,0.0016985249527734633,0.006814092127136502,39
P1_reeq,NTAP,0.010145015458352344,0.001688009879235589,0.006771908066376195,40
P1_reeq,CMI,0.006251715485305299,0.0016630567015397878,0.006671801646740526,41
P1_reeq,QCOM,0.005677375062684987,0.0015837137482276884,0.006353495935290761,42
P1_reeq,NVDA,0.007099299148964815,0.0014227365103398877,0.005707692217454099,43
P1_reeq,SWKS,0.006689421972936848,0.0014017413700993526,0.005623464535318754,44
P1_reeq,AKAM,0.007196049782951473,0.0013989298495860093,0.005612185360547742,45
P1_reeq,IRM,0.008170699394734774,0.001383990694723668,0.005552252901288117,46
P1_reeq,VST,0.005258917210973159,0.0013749196171021383,0.005515861820600971,47
P1_reeq,JCI,0.006896864851085938,0.00129176279867988,0.005182255757997307,48
P1_reeq,EMR,0.00654850065942756,0.0012680622052937487,0.005087174419017155,49
P1_reeq,HUBB,0.00579099708937752,0.0012227610050757152,0.004905436404952956,50
P1_reeq,CARR,0.006493163893686045,0.0012217480461289957,0.004901372646235321,51
P1_reeq,STLD,0.008001800917317661,0.001207923682939256,0.004845912475208652,52
P1_reeq,CSCO,0.008358068415772791,0.0011482669802191313,0.004606583481146861,53
P1_reeq,TT,0.006549729939937341,0.0011462903768350307,0.004598653802200385,54
P1_reeq,FSLR,0.0043373392155893215,0.001111189379391203,0.004457836659687363,55
P1_reeq,ORCL,0.004721806344716667,0.0010828223624577652,0.004344034700851927,56
P1_reeq,NRG,0.004168874771195677,0.0010649713533063055,0.004272420550749638,57
P1_reeq,CEG,0.004750735462232427,0.0010620584139033754,0.004260734506679504,58
P1_reeq,NUE,0.00896951581556261,0.0010441887647721399,0.004189045577258116,59
