fichier,test,date,detail
EQIX.csv,variation quotidienne extreme,2003-05-05,+32.8 %
EQIX.csv,variation quotidienne extreme,2010-10-06,-33.1 %
FIX.csv,variation quotidienne extreme,1999-10-05,-44.4 %
FIX.csv,variation quotidienne extreme,2001-05-10,+30.0 %
FLEX.csv,variation quotidienne extreme,2018-10-26,-35.0 %
FLEX.csv,variation quotidienne extreme,2026-05-06,+39.7 %
GLW.csv,variation quotidienne extreme,1987-10-19,-30.6 %
GLW.csv,variation quotidienne extreme,2002-07-31,-35.2 %
HAL.csv,variation quotidienne extreme,2001-12-07,-42.4 %
HAL.csv,variation quotidienne extreme,2020-03-09,-37.6 %
HUBB.csv,variation quotidienne extreme,1994-10-31,+885.9 %
HUBB.csv,barre incoherente,2021-05-05,O=195.98 H=198.64 L=196.21 C=198.13
HUBB.csv,valeur manquante,1977-08-08,
JBL.csv,variation quotidienne extreme,1995-12-15,-42.0 %
JBL.csv,variation quotidienne extreme,1996-01-31,-33.8 %
JBL.csv,variation quotidienne extreme,2009-03-25,+36.5 %
JCI.csv,variation quotidienne extreme,2002-06-07,-30.8 %
JCI.csv,variation quotidienne extreme,2002-06-13,+36.0 %
JCI.csv,variation quotidienne extreme,2002-07-26,+45.8 %
JCI.csv,variation quotidienne extreme,2007-07-02,-53.4 %
LITE.csv,variation quotidienne extreme,2018-11-12,-33.0 %
LRCX.csv,variation quotidienne extreme,1987-10-29,+38.2 %
LRCX.csv,variation quotidienne extreme,1999-01-05,+32.9 %
MRVL.csv,variation quotidienne extreme,2000-10-17,-30.2 %
MRVL.csv,variation quotidienne extreme,2001-09-27,-32.1 %
MRVL.csv,variation quotidienne extreme,2023-05-26,+32.4 %
MRVL.csv,variation quotidienne extreme,2026-06-02,+32.5 %
MSFT.csv,variation quotidienne extreme,1987-10-19,-30.1 %
NTAP.csv,variation quotidienne extreme,2000-04-25,+35.8 %
NTAP.csv,variation quotidienne extreme,2000-12-05,+40.9 %
NVDA.csv,variation quotidienne extreme,2000-03-07,+42.4 %
NVDA.csv,variation quotidienne extreme,2001-01-03,+30.7 %
NVDA.csv,variation quotidienne extreme,2002-07-31,-31.8 %
NVDA.csv,variation quotidienne extreme,2003-05-09,+33.1 %
NVDA.csv,variation quotidienne extreme,2004-08-06,-35.2 %
NVDA.csv,variation quotidienne extreme,2008-07-03,-30.7 %
ON.csv,variation quotidienne extreme,2002-01-03,+55.6 %
ORCL.csv,variation quotidienne extreme,1990-03-28,-31.0 %
ORCL.csv,variation quotidienne extreme,1992-12-23,+43.9 %
ORCL.csv,variation quotidienne extreme,1999-06-16,+31.1 %
ORCL.csv,variation quotidienne extreme,2025-09-10,+35.9 %
PLD.csv,variation quotidienne extreme,2008-11-12,-30.1 %
PNW.csv,variation quotidienne extreme,1989-12-07,+90.7 %
PWR.csv,variation quotidienne extreme,2002-07-02,-68.1 %
PWR.csv,variation quotidienne extreme,2003-08-06,-30.8 %
SMCI.csv,variation quotidienne extreme,2018-10-04,-41.1 %
SMCI.csv,variation quotidienne extreme,2022-05-04,+31.2 %
SMCI.csv,variation quotidienne extreme,2024-01-19,+35.9 %
SMCI.csv,variation quotidienne extreme,2024-02-22,+32.9 %
SMCI.csv,variation quotidienne extreme,2024-10-30,-32.7 %
SMCI.csv,variation quotidienne extreme,2024-11-19,+31.2 %
SMCI.csv,variation quotidienne extreme,2026-03-20,-33.3 %
SNPS.csv,variation quotidienne extreme,2004-08-19,-31.2 %
SNPS.csv,variation quotidienne extreme,2025-09-10,-35.8 %
SWKS.csv,variation quotidienne extreme,1992-04-22,+58.8 %
SWKS.csv,variation quotidienne extreme,1999-04-06,+38.0 %
SWKS.csv,variation quotidienne extreme,2000-10-19,+35.7 %
SWKS.csv,variation quotidienne extreme,2000-12-05,+31.4 %
SWKS.csv,variation quotidienne extreme,2001-04-18,+31.5 %
SWKS.csv,variation quotidienne extreme,2006-10-03,+35.4 %
SWKS.csv,variation quotidienne extreme,2009-02-06,+34.9 %
TDY.csv,variation quotidienne extreme,2000-03-28,+41.5 %
TT.csv,variation quotidienne extreme,1987-10-19,-30.3 %
VRT.csv,variation quotidienne extreme,2022-02-23,-36.7 %
WDC.csv,variation quotidienne extreme,1998-12-01,+36.8 %
WDC.csv,variation quotidienne extreme,1999-11-10,+30.8 %
WDC.csv,variation quotidienne extreme,2000-01-19,+30.5 %
WDC.csv,variation quotidienne extreme,2000-03-09,+31.5 %
WDC.csv,variation quotidienne extreme,2000-03-13,+39.8 %
WDC.csv,variation quotidienne extreme,2000-12-04,-32.1 %
WMB.csv,variation quotidienne extreme,2002-07-22,-61.0 %
WMB.csv,variation quotidienne extreme,2002-07-23,-40.8 %
WMB.csv,variation quotidienne extreme,2002-07-29,+101.0 %
WMB.csv,variation quotidienne extreme,2002-08-01,+40.7 %
WMB.csv,variation quotidienne extreme,2002-08-05,-32.1 %
WMB.csv,variation quotidienne extreme,2016-01-14,+34.4 %
WMB.csv,variation quotidienne extreme,2016-02-08,-34.8 %
XEL.csv,variation quotidienne extreme,2002-07-26,-36.8 %
BRK-B.csv,division non confirmee,2010-01-21,"annonce 50, mesure 1.044"
DOV.csv,division non confirmee,2014-03-03,"annonce 1.205, mesure 0.979"
DOV.csv,division non confirmee,2018-05-09,"annonce 1.238, mesure 0.955"
DTE.csv,division non confirmee,2021-07-01,"annonce 1.175, mesure 1.000"
DUK.csv,division non confirmee,2012-07-03,"annonce 0.333333, mesure 0.526"
FLEX.csv,division non confirmee,2024-01-03,"annonce 1.327, mesure 0.969"
HPE.csv,division non confirmee,2017-04-03,"annonce 1.3348, mesure 0.991"
HPE.csv,division non confirmee,2017-09-01,"annonce 1.289, mesure 0.986"
IBM.csv,division non confirmee,2021-11-04,"annonce 1.046, mesure 1.001"
IRM.csv,division non confirmee,2014-09-26,"annonce 1.082, mesure 1.003"
JCI.csv,division non confirmee,2012-10-01,"annonce 2.01167, mesure 1.013"
JCI.csv,division non confirmee,2016-09-06,"annonce 0.955, mesure 2.198"
MMM.csv,division non confirmee,2024-04-01,"annonce 1.196, mesure 1.001"
NI.csv,division non confirmee,2015-07-02,"annonce 2.545, mesure 1.002"
O.csv,division non confirmee,2021-11-15,"annonce 1.032, mesure 1.463"
PPL.csv,division non confirmee,2015-06-02,"annonce 1.07365, mesure 1.003"
TT.csv,division non confirmee,2013-12-02,"annonce 1.252, mesure 0.965"
TT.csv,division non confirmee,2020-03-02,"annonce 1.289, mesure 1.003"
WDC.csv,division non confirmee,2025-02-24,"annonce 1.323, mesure 1.003"
WMB.csv,division non confirmee,2012-01-03,"annonce 1.22669, mesure 1.005"
ADI.csv,reference de cotation absente,1980-03-17,
AEE.csv,historique tronque,1998-01-02,entree dans l'indice le 1991-09-19
AEP.csv,historique tronque,1962-01-02,entree dans l'indice le 1957-03-04
AMAT.csv,reference de cotation absente,1980-03-17,
AME.csv,reference de cotation absente,1984-07-19,
APH.csv,reference de cotation absente,1991-11-08,
ARES.csv,reference de cotation absente,2014-05-02,
BKR.csv,reference de cotation absente,1987-04-06,
BRK-B.csv,reference de cotation absente,1996-05-09,
CARR.csv,reference de cotation absente,2020-03-19,
CAT.csv,reference de cotation absente,1962-01-02,
CAT.csv,historique tronque,1962-01-02,entree dans l'indice le 1957-03-04
CBRE.csv,reference de cotation absente,2004-06-10,
CDW.csv,reference de cotation absente,2013-06-27,
CMI.csv,historique tronque,1973-02-21,entree dans l'indice le 1965-03-31
CRH.csv,reference de cotation absente,1989-07-13,
CVX.csv,reference de cotation absente,1962-01-02,
CVX.csv,historique tronque,1962-01-02,entree dans l'indice le 1957-03-04
DOW.csv,reference de cotation absente,2019-03-20,
DTE.csv,historique tronque,1962-01-02,entree dans l'indice le 1957-03-04
DUK.csv,historique tronque,1980-03-17,entree dans l'indice le 1976-06-30
ECL.csv,reference de cotation absente,1973-02-21,
ETN.csv,historique tronque,1972-06-01,entree dans l'indice le 1957-03-04
ETR.csv,historique tronque,1972-06-01,entree dans l'indice le 1957-03-04
FAST.csv,reference de cotation absente,1987-08-20,
GD.csv,reference de cotation absente,1962-01-02,
GD.csv,historique tronque,1962-01-02,entree dans l'indice le 1957-03-04
GOOGL.csv,reference de cotation absente,2004-08-19,
HAL.csv,reference de cotation absente,1972-06-01,
HAL.csv,historique tronque,1972-06-01,entree dans l'indice le 1957-03-04
HWM.csv,historique tronque,2016-11-01,entree dans l'indice le 2016-10-21
IBM.csv,reference de cotation absente,1962-01-02,
IBM.csv,historique tronque,1962-01-02,entree dans l'indice le 1957-03-04
INTC.csv,historique tronque,1980-03-17,entree dans l'indice le 1976-12-31
JCI.csv,reference de cotation absente,1987-09-28,
KLAC.csv,reference de cotation absente,1980-10-08,
LII.csv,reference de cotation absente,1999-07-29,
MLM.csv,reference de cotation absente,1994-02-17,
MMM.csv,reference de cotation absente,1962-01-02,
MMM.csv,historique tronque,1962-01-02,entree dans l'indice le 1957-03-04
MPWR.csv,reference de cotation absente,2004-11-19,
NUE.csv,reference de cotation absente,1980-03-17,
O.csv,reference de cotation absente,1994-10-18,
ON.csv,reference de cotation absente,2000-05-02,
SLB.csv,reference de cotation absente,1981-12-31,
SLB.csv,historique tronque,1981-12-31,entree dans l'indice le 1957-03-04
SO.csv,historique tronque,1981-12-31,entree dans l'indice le 1957-03-04
STLD.csv,reference de cotation absente,1996-11-22,
SWKS.csv,reference de cotation absente,1984-09-07,
TDY.csv,reference de cotation absente,1999-11-23,
TT.csv,reference de cotation absente,1980-03-17,
TXN.csv,reference de cotation absente,1972-06-01,
VMC.csv,reference de cotation absente,1973-02-21,
WMB.csv,historique tronque,1981-12-31,entree dans l'indice le 1975-03-31
XEL.csv,historique tronque,1973-02-21,entree dans l'indice le 1957-03-04
XYL.csv,reference de cotation absente,2011-10-13,
AES.csv,denomination divergente,,The AES Corporation contre AES Corporation
IBM.csv,denomination divergente,,International Business Machines Corporation contre IBM
SLB.csv,denomination divergente,,SLB N.V. contre Schlumberger
SMCI.csv,denomination divergente,,"Super Micro Computer, Inc. contre Supermicro"
SO.csv,denomination divergente,,The Southern Company contre Southern Company
WMB.csv,denomination divergente,,"The Williams Companies, Inc. contre Williams Companies"
AMAT.csv,prix fige,1981-08-10,0.1543
AMD.csv,prix fige,1982-10-05,4.4375
AMD.csv,prix fige,2015-01-02,2.6700
APH.csv,prix fige,1997-09-25,0.3398
APH.csv,prix fige,1998-03-27,0.4590
BKR.csv,prix fige,2019-10-18,22.0800
CDNS.csv,prix fige,1987-08-17,1.7500
CDNS.csv,prix fige,1987-11-19,1.2500
CDNS.csv,prix fige,1988-01-25,1.3333
CMI.csv,prix fige,1973-08-17,4.5938
CMI.csv,prix fige,1974-04-10,4.2031
CMI.csv,prix fige,1974-05-08,4.1719
CMI.csv,prix fige,1974-06-13,4.1250
CMI.csv,prix fige,1974-06-21,3.7812
CMI.csv,prix fige,1975-04-11,2.6094
CMI.csv,prix fige,1975-08-22,2.4844
CMI.csv,prix fige,1975-09-09,2.5938
CMI.csv,prix fige,1975-09-23,2.5469
CNP.csv,seance sans transaction,1963-03-26,
CNP.csv,prix fige,1963-08-13,12.2235
COHR.csv,prix fige,1988-01-28,0.2656
COHR.csv,prix fige,1988-02-09,0.2500
COHR.csv,prix fige,1988-08-12,0.4219
COHR.csv,prix fige,1988-11-02,0.5078
COHR.csv,prix fige,1988-11-25,0.4766
COHR.csv,prix fige,1988-11-28,0.4766
COHR.csv,prix fige,1988-12-12,0.4844
COHR.csv,prix fige,1988-12-28,0.4688
COHR.csv,prix fige,1989-01-10,0.4766
COHR.csv,prix fige,1989-01-11,0.4766
COHR.csv,prix fige,1989-02-06,0.4531
COHR.csv,prix fige,1989-02-16,0.4375
