cik,nom,symboles,secteur,canal,degre,annee_recente,fin_exercice_recent,ca_md,mult_ventes,base_annees_ventes,base_periodes_ventes,base_n_ventes,base_repli_ventes,statut_ventes,fin_ventes,source_ventes,capex_md,mult_capex,base_annees_capex,base_periodes_capex,base_n_capex,base_repli_capex,statut_capex,fin_capex,source_capex,rd_md,mult_recherche,base_annees_recherche,base_periodes_recherche,base_n_recherche,base_repli_recherche,statut_recherche,fin_recherche,source_recherche,nb_multiples,couverture_comptes,motif_couverture,base_repli_utilisee,mult_depenses,corroboration
0001474735,Generac,GNRC,Industrials,fournit,non_quantifie,2025,2025-12-31,4.209147,1.9911760253559772,2018;2019,2018-01-01/2018-12-31;2019-01-01/2019-12-31,2,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1474735/000143774926004568/0001437749-26-004568-index.htm,0.16985,3.596891235599729,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1474735/000143774926004568/0001437749-26-004568-index.htm,0.24347,4.528775684825337,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1474735/000143774926004568/0001437749-26-004568-index.htm,3,trois mesures comparables,,,4.528775684825337,doublement observe
0000004281,Howmet Aerospace,HWM,Industrials,fournit,non_quantifie,2025,2025-12-31,8.252,1.1893917555491496,2018;2019,2018-01-01/2018-12-31;2019-01-01/2019-12-31,2,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/4281/000000428126000012/0000004281-26-000012-index.htm,0.453,2.311224489795918,2021;2022,2021-01-01/2021-12-31;2022-01-01/2022-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/4281/000000428126000012/0000004281-26-000012-index.htm,0.037,1.0724637681159421,2018;2019,2018-01-01/2018-12-31;2019-01-01/2019-12-31,2,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/4281/000000428126000012/0000004281-26-000012-index.htm,3,trois mesures comparables,,oui,2.311224489795918,doublement observe
0000319201,KLA Corporation,KLAC,Information Technology,fournit,non_quantifie,2025,2026-06-30,13.579476,2.6176475577446805,2018;2019,2018-07-01/2019-06-30;2019-07-01/2020-06-30,2,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/319201/000031920126000027/0000319201-26-000027-index.htm,0.375945,3.2212812749914312,2017;2018;2019,2017-07-01/2018-06-30;2018-07-01/2019-06-30;2019-07-01/2020-06-30,3,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/319201/000031920126000027/0000319201-26-000027-index.htm,1.532118,2.1051119227818678,2017;2018;2019,2017-07-01/2018-06-30;2018-07-01/2019-06-30;2019-07-01/2020-06-30,3,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/319201/000031920126000027/0000319201-26-000027-index.htm,3,trois mesures comparables,,,3.2212812749914312,doublement observe
0000707549,Lam Research,LRCX,Information Technology,fournit,non_quantifie,2025,2026-06-28,23.23269,2.2647410700525255,2017;2018;2019,2017-06-26/2018-06-24;2018-06-25/2019-06-30;2019-07-01/2020-06-28,3,,comparable_sur_reference,2026-06-28,https://www.sec.gov/Archives/edgar/data/707549/000070754926000037/0000707549-26-000037-index.htm,0.966405,3.715994252748337,2017;2018;2019,2017-06-26/2018-06-24;2018-06-25/2019-06-30;2019-07-01/2020-06-28,3,,comparable_sur_reference,2026-06-28,https://www.sec.gov/Archives/edgar/data/707549/000070754926000037/0000707549-26-000037-index.htm,2.375873,1.9617771546435336,2017;2018;2019,2017-06-26/2018-06-24;2018-06-25/2019-06-30;2019-07-01/2020-06-28,3,,comparable_sur_reference,2026-06-28,https://www.sec.gov/Archives/edgar/data/707549/000070754926000037/0000707549-26-000037-index.htm,3,trois mesures comparables,,,3.715994252748337,doublement observe
0001633978,Lumentum,LITE,Information Technology,vend,non_quantifie,2025,2026-06-27,3.014,1.732383032532475,2022;2023,2021-07-04/2022-07-02;2022-07-03/2023-07-01,2,oui,comparable_sur_repli,2026-06-27,https://www.sec.gov/Archives/edgar/data/1633978/000162828026057358/0001628280-26-057358-index.htm,0.4513,7.655640373197625,2013;2014,2013-06-30/2014-06-28;2014-06-29/2015-06-27,2,oui,comparable_sur_repli,2026-06-27,https://www.sec.gov/Archives/edgar/data/1633978/000162828026057358/0001628280-26-057358-index.htm,0.3565,2.0717710300740957,2017;2017;2018;2019,2016-07-03/2017-07-01;2017-07-02/2018-06-30;2018-07-01/2019-06-29;2019-06-30/2020-06-27,4,,comparable_sur_reference,2026-06-27,https://www.sec.gov/Archives/edgar/data/1633978/000162828026057358/0001628280-26-057358-index.htm,3,trois mesures comparables,,oui,7.655640373197625,doublement observe
0001326801,Meta Platforms,META,Communication Services,depense,non_quantifie,2025,2025-12-31,200.966,3.606108093882336,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/0001628280-26-003942-index.htm,69.691,5.848195804195805,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/0001628280-26-003942-index.htm,57.372,5.442059000221329,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/0001628280-26-003942-index.htm,3,trois mesures comparables,,,5.848195804195805,doublement observe
0000723125,Micron Technology,MU,Information Technology,vend,non_quantifie,2025,2025-08-28,37.378,1.5128914313468882,2017;2018;2019,2016-09-02/2017-08-31;2017-09-01/2018-08-30;2018-08-31/2019-08-29,3,,comparable_sur_reference,2025-08-28,https://www.sec.gov/Archives/edgar/data/723125/000072312525000028/0000723125-25-000028-index.htm,15.857,2.033557046979866,2017;2018;2019,2016-09-02/2017-08-31;2017-09-01/2018-08-30;2018-08-31/2019-08-29,3,,comparable_sur_reference,2025-08-28,https://www.sec.gov/Archives/edgar/data/723125/000072312525000028/0000723125-25-000028-index.htm,3.798,1.778645020293475,2017;2018;2019,2016-09-02/2017-08-31;2017-09-01/2018-08-30;2018-08-31/2019-08-29,3,,comparable_sur_reference,2025-08-28,https://www.sec.gov/Archives/edgar/data/723125/000072312525000028/0000723125-25-000028-index.htm,3,trois mesures comparables,,,2.033557046979866,doublement observe
0000789019,Microsoft,MSFT,Information Technology,depense et vend,non_quantifie,2025,2026-06-30,331.839,2.625183931142509,2017;2018;2019,2017-07-01/2018-06-30;2018-07-01/2019-06-30;2019-07-01/2020-06-30,3,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/0001193125-26-323660-index.htm,115.948,8.484413873847505,2017;2018;2019,2017-07-01/2018-06-30;2018-07-01/2019-06-30;2019-07-01/2020-06-30,3,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/0001193125-26-323660-index.htm,35.562,2.0971870024178805,2017;2018;2019,2017-07-01/2018-06-30;2018-07-01/2019-06-30;2019-07-01/2020-06-30,3,,comparable_sur_reference,2026-06-30,https://www.sec.gov/Archives/edgar/data/789019/000119312526323660/0001193125-26-323660-index.htm,3,trois mesures comparables,,,8.484413873847505,doublement observe
0001280452,Monolithic Power Systems,MPWR,Information Technology,vend,non_quantifie,2025,2025-12-31,2.790459,4.979311005262808,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1280452/000143774926006113/0001437749-26-006113-index.htm,0.172013,2.8030059423580407,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1280452/000143774926006113/0001437749-26-006113-index.htm,0.382263,4.044098303423128,2017;2018;2019,2017-01-01/2017-12-31;2018-01-01/2018-12-31;2019-01-01/2019-12-31,3,,comparable_sur_reference,2025-12-31,https://www.sec.gov/Archives/edgar/data/1280452/000143774926006113/0001437749-26-006113-index.htm,3,trois mesures comparables,,,4.044098303423128,doublement observe
0001013871,NRG Energy,NRG,Utilities,fournit,non_quantifie,2025,2025-12-31,30.713,,,,0,,recent_non_reconcilie,2025-12-31,https://www.sec.gov/Archives/edgar/data/1013871/000101387126000004/0001013871-26-000004-index.htm,1.147,5.008733624454148,2019;2020,2019-01-01/2019-12-31;2020-01-01/2020-12-31,2,oui,comparable_sur_repli,2025-12-31,https://www.sec.gov/Archives/edgar/data/1013871/000101387126000004/0001013871-26-000004-index.htm,,,,,0,,valeur_recente_manquante,,,1,observation partielle,chiffre_affaires: recent_non_reconcilie ; rd: valeur_recente_manquante,oui,5.008733624454148,doublement observe
