date,valeur_avant,valeur_avant_operation,valeur,frais,echange,rendement_attendu_avant_frais,tresorerie,serie
2017-08-03,35.657002898476534,35.92995238347994,35.92995238347994,0.0,0.0,0.007654863359675851,0.0994028845588569,P4_reeq
2017-08-04,35.92995238347994,36.26991199998608,36.26991199998608,0.0,0.0,0.00946173300976733,0.0994028845588569,P4_reeq
2017-08-07,36.26991199998608,36.234366749191665,36.234366749191665,0.0,0.0,-0.0009800203208220047,0.0994028845588569,P4_reeq
2017-08-08,36.234366749191665,36.24437305040571,36.24437305040571,0.0,0.0,0.0002761549907387812,0.0994028845588569,P4_reeq
2017-08-09,36.24437305040571,36.20885383523953,36.20885383523953,0.0,0.0,-0.0009799925388911939,0.0994028845588569,P4_reeq
2017-08-10,36.20885383523953,35.577004092213755,35.577004092213755,0.0,0.0,-0.017450144815433007,0.0994028845588569,P4_reeq
2017-08-11,35.577004092213755,35.787951400601614,35.787951400601614,0.0,0.0,0.005929316247121172,0.0994028845588569,P4_reeq
2017-08-14,35.787951400601614,36.331474374168856,36.331474374168856,0.0,0.0,0.015187317303613874,0.0994028845588569,P4_reeq
2017-08-15,36.331474374168856,36.32083572621463,36.32083572621463,0.0,0.0,-0.00029282180636719857,0.11827839284456586,P4_reeq
2017-08-16,36.32083572621463,36.52180615363504,36.52180615363504,0.0,0.0,0.005533199426778477,0.11827839284456586,P4_reeq
2017-08-17,36.52180615363504,35.85296114027945,35.85296114027945,0.0,0.0,-0.018313579852595123,0.11827839284456586,P4_reeq
2017-08-18,35.85296114027945,35.774097248923475,35.774097248923475,0.0,0.0,-0.002199647918826199,0.11827839284456586,P4_reeq
2017-08-21,35.774097248923475,35.73054181202381,35.73054181202381,0.0,0.0,-0.0012175132358086729,0.11827839284456586,P4_reeq
2017-08-22,35.73054181202381,36.190861038596594,36.190861038596594,0.0,0.0,0.012883074345597708,0.11827839284456586,P4_reeq
2017-08-23,36.190861038596594,36.22418918449278,36.22418918449278,0.0,0.0,0.00092089950169021,0.11827839284456586,P4_reeq
2017-08-24,36.22418918449278,36.21752698706944,36.21752698706944,0.0,0.0,-0.00018391570862796996,0.11827839284456586,P4_reeq
2017-08-25,36.21752698706944,36.22054018553433,36.22054018553433,0.0,0.0,8.319724496843217e-05,0.11827839284456586,P4_reeq
2017-08-28,36.22054018553433,36.260967239055574,36.260967239055574,0.0,0.0,0.0011161361292283758,0.11827839284456586,P4_reeq
2017-08-29,36.260967239055574,36.35802327840018,36.35802327840018,0.0,0.0,0.00267659819178984,0.11827839284456586,P4_reeq
2017-08-30,36.35802327840018,36.77160463514525,36.77160463514525,0.0,0.0,0.011375243191253742,0.11827839284456586,P4_reeq
2017-08-31,36.77160463514525,37.139097338637534,37.139097338637534,0.0,0.0,0.009993926213952856,0.11827839284456586,P4_reeq
2017-09-01,37.139097338637534,36.99212487292968,36.99212487292968,0.0,0.0,-0.003957351584712757,0.11827839284456586,P4_reeq
2017-09-05,36.99212487292968,36.785646926646066,36.785646926646066,0.0,0.0,-0.005581673045084022,0.11827839284456586,P4_reeq
2017-09-06,36.785646926646066,36.67017484367761,36.67017484367761,0.0,0.0,-0.0031390526636305045,0.11827839284456586,P4_reeq
2017-09-07,36.67017484367761,37.0705166869201,37.0705166869201,0.0,0.0,0.01091736935940794,0.11827839284456586,P4_reeq
2017-09-08,37.0705166869201,36.732394482306084,36.732394482306084,0.0,0.0,-0.009121054542337186,0.11827839284456586,P4_reeq
2017-09-11,36.732394482306084,37.31034512903689,37.31034512903689,0.0,0.0,0.015734085808351096,0.11827839284456586,P4_reeq
2017-09-12,37.31034512903689,37.303146319008206,37.303146319008206,0.0,0.0,-0.0001929440749953807,0.11827839284456586,P4_reeq
2017-09-13,37.303146319008206,37.42486790250485,37.42486790250485,0.0,0.0,0.0032630379876191487,0.11827839284456586,P4_reeq
2017-09-14,37.42486790250485,37.44056957032749,37.44056957032749,0.0,0.0,0.00041955172329673565,0.13553910672895852,P4_reeq
2017-09-15,37.44056957032749,37.199571698982425,37.199571698982425,0.0,0.0,-0.006436811034415078,0.13553910672895852,P4_reeq
2017-09-18,37.199571698982425,37.16604071606245,37.16604071606245,0.0,0.0,-0.0009013808866218079,0.13553910672895852,P4_reeq
2017-09-19,37.16604071606245,37.00873338971676,37.00873338971676,0.0,0.0,-0.004232555400438416,0.13553910672895852,P4_reeq
2017-09-20,37.00873338971676,36.9924323112015,36.9924323112015,0.0,0.0,-0.00044046572314727916,0.13553910672895852,P4_reeq
2017-09-21,36.9924323112015,36.718219790929425,36.718219790929425,0.0,0.0,-0.007412665324768042,0.13553910672895852,P4_reeq
2017-09-22,36.718219790929425,36.43683235257746,36.43683235257746,0.0,0.0,-0.007663428127892902,0.13553910672895852,P4_reeq
2017-09-25,36.43683235257746,35.82896556789972,35.82896556789972,0.0,0.0,-0.01668275603092416,0.13553910672895852,P4_reeq
2017-09-26,35.82896556789972,35.8632089174632,35.8632089174632,0.0,0.0,0.0009557448567297543,0.13553910672895852,P4_reeq
2017-09-27,35.8632089174632,36.2694508594535,36.2694508594535,0.0,0.0,0.011327540235600259,0.13553910672895852,P4_reeq
2017-09-28,36.2694508594535,36.40443682918344,36.40443682918344,0.0,0.0,0.003721753887397426,0.13553910672895852,P4_reeq
2017-09-29,36.40443682918344,36.627989782703466,36.627989782703466,0.0,0.0,0.006140816147465392,0.13553910672895852,P4_reeq
2017-10-02,36.627989782703466,36.55412869162374,36.55412869162374,0.0,0.0,-0.0020165204674871184,0.13553910672895852,P4_reeq
2017-10-03,36.55412869162374,36.70770522582637,36.70770522582637,0.0,0.0,0.004201345776785721,0.13553910672895852,P4_reeq
2017-10-04,36.70770522582637,36.91260946762766,36.91260946762766,0.0,0.0,0.005582049886821179,0.13553910672895852,P4_reeq
2017-10-05,36.91260946762766,37.23122535581641,37.23122535581641,0.0,0.0,0.008631627316084863,0.13553910672895852,P4_reeq
