date,serie,titre,poids
2002-11-29,P1_reeq,GNRC,0.0
2002-12-31,P1_reeq,GNRC,0.0
2003-01-31,P1_reeq,GNRC,0.0
2003-02-28,P1_reeq,GNRC,0.0
2003-03-31,P1_reeq,GNRC,0.0
2003-04-30,P1_reeq,GNRC,0.0
2003-05-30,P1_reeq,GNRC,0.0
2003-06-30,P1_reeq,GNRC,0.0
2003-07-31,P1_reeq,GNRC,0.0
2003-08-29,P1_reeq,GNRC,0.0
2003-09-30,P1_reeq,GNRC,0.0
2003-10-31,P1_reeq,GNRC,0.0
2003-11-28,P1_reeq,GNRC,0.0
2003-12-31,P1_reeq,GNRC,0.0
2004-01-30,P1_reeq,GNRC,0.0
2004-02-27,P1_reeq,GNRC,0.0
2004-03-31,P1_reeq,GNRC,0.0
2004-04-30,P1_reeq,GNRC,0.0
2004-05-28,P1_reeq,GNRC,0.0
2004-06-30,P1_reeq,GNRC,0.0
2004-07-30,P1_reeq,GNRC,0.0
2004-08-31,P1_reeq,GNRC,0.0
2004-09-30,P1_reeq,GNRC,0.0
2004-10-29,P1_reeq,GNRC,0.0
2004-11-30,P1_reeq,GNRC,0.0
2004-12-31,P1_reeq,GNRC,0.0
2005-01-31,P1_reeq,GNRC,0.0
2005-02-28,P1_reeq,GNRC,0.0
2005-03-31,P1_reeq,GNRC,0.0
2005-04-29,P1_reeq,GNRC,0.0
2005-05-31,P1_reeq,GNRC,0.0
2005-06-30,P1_reeq,GNRC,0.0
2005-07-29,P1_reeq,GNRC,0.0
2005-08-31,P1_reeq,GNRC,0.0
2005-09-30,P1_reeq,GNRC,0.0
2005-10-31,P1_reeq,GNRC,0.0
2005-11-30,P1_reeq,GNRC,0.0
2005-12-30,P1_reeq,GNRC,0.0
2006-01-31,P1_reeq,GNRC,0.0
2006-02-28,P1_reeq,GNRC,0.0
2006-03-31,P1_reeq,GNRC,0.0
2006-04-28,P1_reeq,GNRC,0.0
2006-05-31,P1_reeq,GNRC,0.0
2006-06-30,P1_reeq,GNRC,0.0
2006-07-31,P1_reeq,GNRC,0.0
2006-08-31,P1_reeq,GNRC,0.0
2006-09-29,P1_reeq,GNRC,0.0
2006-10-31,P1_reeq,GNRC,0.0
2006-11-30,P1_reeq,GNRC,0.0
2006-12-29,P1_reeq,GNRC,0.0
2007-01-31,P1_reeq,GNRC,0.0
2007-02-28,P1_reeq,GNRC,0.0
2007-03-30,P1_reeq,GNRC,0.0
2007-04-30,P1_reeq,GNRC,0.0
2007-05-31,P1_reeq,GNRC,0.0
2007-06-29,P1_reeq,GNRC,0.0
2007-07-31,P1_reeq,GNRC,0.0
2007-08-31,P1_reeq,GNRC,0.0
2007-09-28,P1_reeq,GNRC,0.0
2007-10-31,P1_reeq,GNRC,0.0
2007-11-30,P1_reeq,GNRC,0.0
2007-12-31,P1_reeq,GNRC,0.0
2008-01-31,P1_reeq,GNRC,0.0
2008-02-29,P1_reeq,GNRC,0.0
2008-03-31,P1_reeq,GNRC,0.0
2008-04-30,P1_reeq,GNRC,0.0
2008-05-30,P1_reeq,GNRC,0.0
2008-06-30,P1_reeq,GNRC,0.0
2008-07-31,P1_reeq,GNRC,0.0
2008-08-29,P1_reeq,GNRC,0.0
2008-09-30,P1_reeq,GNRC,0.0
2008-10-31,P1_reeq,GNRC,0.0
2008-11-28,P1_reeq,GNRC,0.0
2008-12-31,P1_reeq,GNRC,0.0
2009-01-30,P1_reeq,GNRC,0.0
2009-02-27,P1_reeq,GNRC,0.0
2009-03-31,P1_reeq,GNRC,0.0
2009-04-30,P1_reeq,GNRC,0.0
2009-05-29,P1_reeq,GNRC,0.0
2009-06-30,P1_reeq,GNRC,0.0
2009-07-31,P1_reeq,GNRC,0.0
2009-08-31,P1_reeq,GNRC,0.0
2009-09-30,P1_reeq,GNRC,0.0
2009-10-30,P1_reeq,GNRC,0.0
2009-11-30,P1_reeq,GNRC,0.0
2009-12-31,P1_reeq,GNRC,0.0
2010-01-29,P1_reeq,GNRC,0.0
2010-02-26,P1_reeq,GNRC,0.009468472687553454
2010-03-31,P1_reeq,GNRC,0.009325195610703647
2010-04-30,P1_reeq,GNRC,0.009635057342165588
2010-05-28,P1_reeq,GNRC,0.007635721310733712
2010-06-30,P1_reeq,GNRC,0.01013280563615271
2010-07-30,P1_reeq,GNRC,0.009940529906761891
2010-08-31,P1_reeq,GNRC,0.008516607392132754
2010-09-30,P1_reeq,GNRC,0.008635878388712732
2010-10-29,P1_reeq,GNRC,0.008308249327930414
2010-11-30,P1_reeq,GNRC,0.009017103284482365
2010-12-31,P1_reeq,GNRC,0.009149715932426536
2011-01-31,P1_reeq,GNRC,0.008158503172590781
2011-02-28,P1_reeq,GNRC,0.009589010851273689
2011-03-31,P1_reeq,GNRC,0.010588776678295395
2011-04-29,P1_reeq,GNRC,0.01058710480021642
2011-05-31,P1_reeq,GNRC,0.009520530880058763
2011-06-30,P1_reeq,GNRC,0.010200503154319923
2011-07-29,P1_reeq,GNRC,0.010192456978625293
2011-08-31,P1_reeq,GNRC,0.011983217570276067
2011-09-30,P1_reeq,GNRC,0.011747693685541311
2011-10-31,P1_reeq,GNRC,0.012586532022688834
2011-11-30,P1_reeq,GNRC,0.013742444518090575
2011-12-30,P1_reeq,GNRC,0.015328090202938172
2012-01-31,P1_reeq,GNRC,0.008613983517816
2012-02-29,P1_reeq,GNRC,0.007268423163727724
2012-03-30,P1_reeq,GNRC,0.006862175279254217
2012-04-30,P1_reeq,GNRC,0.006808939161312428
2012-05-31,P1_reeq,GNRC,0.007499220230700139
2012-06-29,P1_reeq,GNRC,0.006971122891980007
2012-07-31,P1_reeq,GNRC,0.006533328503677354
2012-08-31,P1_reeq,GNRC,0.006048693254420392
2012-09-28,P1_reeq,GNRC,0.006392095743597996
2012-10-31,P1_reeq,GNRC,0.009643853284348039
2012-11-30,P1_reeq,GNRC,0.009076030193487827
2012-12-31,P1_reeq,GNRC,0.009270362681222413
2013-01-31,P1_reeq,GNRC,0.00890400696280165
2013-02-28,P1_reeq,GNRC,0.008124252565391805
2013-03-28,P1_reeq,GNRC,0.00806904220681819
2013-04-30,P1_reeq,GNRC,0.007984765149679513
2013-05-31,P1_reeq,GNRC,0.00872830513609311
2013-06-28,P1_reeq,GNRC,0.007971568307198126
2013-07-31,P1_reeq,GNRC,0.008842319840374497
2013-08-30,P1_reeq,GNRC,0.008236599727835574
2013-09-30,P1_reeq,GNRC,0.00838190124497641
2013-10-31,P1_reeq,GNRC,0.009469314226764133
2013-11-29,P1_reeq,GNRC,0.010107393287757628
2013-12-31,P1_reeq,GNRC,0.010339674986243847
2014-01-31,P1_reeq,GNRC,0.007336454266717799
2014-02-28,P1_reeq,GNRC,0.008169008744436702
2014-03-31,P1_reeq,GNRC,0.008402092685526693
2014-04-30,P1_reeq,GNRC,0.008316342291852139
2014-05-30,P1_reeq,GNRC,0.006688474479629098
2014-06-30,P1_reeq,GNRC,0.006341663781604813
2014-07-31,P1_reeq,GNRC,0.005841076388364504
2014-08-29,P1_reeq,GNRC,0.00593390956570763
2014-09-30,P1_reeq,GNRC,0.005335994732963232
2014-10-31,P1_reeq,GNRC,0.005761673884463467
2014-11-28,P1_reeq,GNRC,0.005372512998041465
2014-12-31,P1_reeq,GNRC,0.005778221965944255
2015-01-30,P1_reeq,GNRC,0.007991856868220711
2015-02-27,P1_reeq,GNRC,0.008548065191361495
2015-03-31,P1_reeq,GNRC,0.008522712961001546
2015-04-30,P1_reeq,GNRC,0.007315167104917602
2015-05-29,P1_reeq,GNRC,0.0071693774929506935
2015-06-30,P1_reeq,GNRC,0.00710686855560617
2015-07-31,P1_reeq,GNRC,0.0061703055736493225
2015-08-31,P1_reeq,GNRC,0.005675153017874172
2015-09-30,P1_reeq,GNRC,0.0056567126119679316
2015-10-30,P1_reeq,GNRC,0.005502766501026607
2015-11-30,P1_reeq,GNRC,0.005527967322814373
2015-12-31,P1_reeq,GNRC,0.0052559036521904
2016-01-29,P1_reeq,GNRC,0.008367389804938188
2016-02-29,P1_reeq,GNRC,0.009948846063805973
2016-03-31,P1_reeq,GNRC,0.009740270587190725
2016-04-29,P1_reeq,GNRC,0.010071689954889973
2016-05-31,P1_reeq,GNRC,0.009626974032636907
2016-06-30,P1_reeq,GNRC,0.008773290449967367
2016-07-29,P1_reeq,GNRC,0.009055049439572149
2016-08-31,P1_reeq,GNRC,0.008825021041291157
2016-09-30,P1_reeq,GNRC,0.008317515781559929
2016-10-31,P1_reeq,GNRC,0.008758794563214945
2016-11-30,P1_reeq,GNRC,0.008868390950765621
2016-12-30,P1_reeq,GNRC,0.008615852670033692
2017-01-31,P1_reeq,GNRC,0.007519061736363727
2017-02-28,P1_reeq,GNRC,0.006997806961792166
2017-03-31,P1_reeq,GNRC,0.006616480130506649
2017-04-28,P1_reeq,GNRC,0.006185871427872628
2017-05-31,P1_reeq,GNRC,0.005928561685686076
2017-06-30,P1_reeq,GNRC,0.006234872192334038
2017-07-31,P1_reeq,GNRC,0.005976122404567737
2017-08-31,P1_reeq,GNRC,0.006588420364367338
2017-09-29,P1_reeq,GNRC,0.007331318552873937
2017-10-31,P1_reeq,GNRC,0.007924191446047484
2017-11-30,P1_reeq,GNRC,0.0073408382902576
2017-12-29,P1_reeq,GNRC,0.007395815511542803
2018-01-31,P1_reeq,GNRC,0.007879379859188388
2018-02-28,P1_reeq,GNRC,0.0074128341142804454
2018-03-29,P1_reeq,GNRC,0.007657479646197224
2018-04-30,P1_reeq,GNRC,0.007610201352006199
2018-05-31,P1_reeq,GNRC,0.008125314843005091
2018-06-29,P1_reeq,GNRC,0.008439610054808077
2018-07-31,P1_reeq,GNRC,0.008527425907410716
2018-08-31,P1_reeq,GNRC,0.008542843372652435
2018-09-28,P1_reeq,GNRC,0.00878021071193572
2018-10-31,P1_reeq,GNRC,0.00862849826108917
2018-11-30,P1_reeq,GNRC,0.009326591717416005
2018-12-31,P1_reeq,GNRC,0.008740990769187827
2019-01-31,P1_reeq,GNRC,0.007454464407563588
2019-02-28,P1_reeq,GNRC,0.006883111021093455
2019-03-29,P1_reeq,GNRC,0.006623548252742282
2019-04-30,P1_reeq,GNRC,0.006761956969153459
2019-05-31,P1_reeq,GNRC,0.007437876797649262
2019-06-28,P1_reeq,GNRC,0.008605337701576513
2019-07-31,P1_reeq,GNRC,0.008806004518561648
2019-08-30,P1_reeq,GNRC,0.009629691738574206
2019-09-30,P1_reeq,GNRC,0.009382304911608576
2019-10-31,P1_reeq,GNRC,0.011329508005102042
2019-11-29,P1_reeq,GNRC,0.011278801293572267
2019-12-31,P1_reeq,GNRC,0.011047026053105776
2020-01-31,P1_reeq,GNRC,0.008101038787740903
2020-02-28,P1_reeq,GNRC,0.008692505607304871
2020-03-31,P1_reeq,GNRC,0.00897697296105978
2020-04-30,P1_reeq,GNRC,0.008337345406737333
2020-05-29,P1_reeq,GNRC,0.0089591899744869
2020-06-30,P1_reeq,GNRC,0.009587031286161576
2020-07-31,P1_reeq,GNRC,0.011539531823198633
2020-08-31,P1_reeq,GNRC,0.013208476085354935
2020-09-30,P1_reeq,GNRC,0.013823931570618087
2020-10-30,P1_reeq,GNRC,0.014830451389280578
2020-11-30,P1_reeq,GNRC,0.013597823224716815
2020-12-31,P1_reeq,GNRC,0.013699868049871266
2021-01-29,P1_reeq,GNRC,0.008370505708770543
2021-02-26,P1_reeq,GNRC,0.010720641135651174
2021-03-31,P1_reeq,GNRC,0.009925433634094549
2021-04-30,P1_reeq,GNRC,0.009447489964977844
2021-05-28,P1_reeq,GNRC,0.009360909987927697
2021-06-30,P1_reeq,GNRC,0.01167751291874312
2021-07-30,P1_reeq,GNRC,0.011575460573357213
2021-08-31,P1_reeq,GNRC,0.011742192744523901
2021-09-30,P1_reeq,GNRC,0.011612000888837853
2021-10-29,P1_reeq,GNRC,0.01325426149560369
2021-11-30,P1_reeq,GNRC,0.011127181731764942
2021-12-31,P1_reeq,GNRC,0.008757807911322758
2022-01-31,P1_reeq,GNRC,0.006619034198672145
2022-02-28,P1_reeq,GNRC,0.007560298605301473
2022-03-31,P1_reeq,GNRC,0.006747272145102511
2022-04-29,P1_reeq,GNRC,0.0053320351755203384
2022-05-31,P1_reeq,GNRC,0.005813280473025107
2022-06-30,P1_reeq,GNRC,0.005544746445343775
2022-07-29,P1_reeq,GNRC,0.006352844346883735
2022-08-31,P1_reeq,GNRC,0.005333826048610666
2022-09-30,P1_reeq,GNRC,0.004816127290232469
2022-10-31,P1_reeq,GNRC,0.0028591737558602524
2022-11-30,P1_reeq,GNRC,0.0024025528091455492
2022-12-30,P1_reeq,GNRC,0.0024150376402661653
2023-01-31,P1_reeq,GNRC,0.008736595513561584
2023-02-28,P1_reeq,GNRC,0.00882388601062058
2023-03-31,P1_reeq,GNRC,0.007696367172106099
2023-04-28,P1_reeq,GNRC,0.007433483490551388
2023-05-31,P1_reeq,GNRC,0.00762840146059868
2023-06-30,P1_reeq,GNRC,0.009598342205854635
2023-07-31,P1_reeq,GNRC,0.009439432369164329
2023-08-31,P1_reeq,GNRC,0.007315919238614521
2023-09-29,P1_reeq,GNRC,0.0070351156550147
2023-10-31,P1_reeq,GNRC,0.005622066224357865
2023-11-30,P1_reeq,GNRC,0.007109032572447594
2023-12-29,P1_reeq,GNRC,0.007389232039200088
2024-01-31,P1_reeq,GNRC,0.006739226839378204
2024-02-29,P1_reeq,GNRC,0.006146794310786699
2024-03-28,P1_reeq,GNRC,0.006477462187319752
2024-04-30,P1_reeq,GNRC,0.007195110855861388
2024-05-31,P1_reeq,GNRC,0.007331543214416022
2024-06-28,P1_reeq,GNRC,0.006572141427811209
2024-07-31,P1_reeq,GNRC,0.0075646620697553185
2024-08-30,P1_reeq,GNRC,0.007479560186907748
2024-09-30,P1_reeq,GNRC,0.007190519921109662
2024-10-31,P1_reeq,GNRC,0.007476837789994068
2024-11-29,P1_reeq,GNRC,0.007749367582438324
2024-12-31,P1_reeq,GNRC,0.006798529676839526
2025-01-31,P1_reeq,GNRC,0.006950739413925244
2025-02-28,P1_reeq,GNRC,0.006421521594399854
2025-03-31,P1_reeq,GNRC,0.0063442806791577065
2025-04-30,P1_reeq,GNRC,0.005741280465064371
2025-05-30,P1_reeq,GNRC,0.00568283090937053
2025-06-30,P1_reeq,GNRC,0.006228862581490367
